--PAIKKOJA
# Edustajiston paikkamäärä.
60
--ARVONTATAPA
tamy
--RENKAAT
# renkaan numero, nimi, tunnus
517, 12, Kalliomäki Aki, 8
518, 12, Kanerva Inka, 24
519, 12, Kassinen Tuomo, 20
520, 12, Kinnunen Matti, 17
521, 12, Kääriäinen Antti, 26
522, 12, Latosuo Eeva, 25
523, 12, Laukkanen Mikko, 27
524, 12, Lehtinen Aki, 13
525, 12, Lemström Ossi, 10
526, 12, Lettenmeier Michael, 25
527, 12, Liimatainen Jussi, 32
528, 12, Lukka Tuomas, 6
529, 12, Luukko Mika, 10
530, 12, Mannermaa Rauna, 33
531, 12, Maskulin Nina, 17
532, 12, Mattila Päivi, 34
533, 13, Mustonen Veera, 58
534, 13, Niikkonen Tiina, 18
535, 13, Nissinen Jouni, 26
536, 13, Paartola "Titta", 15
537, 13, Parkatti Jarre, 18
538, 13, Pasanen Pirjo, 18
539, 13, Pehko Sonja, 58
540, 13, Peltola Johanna, 24
541, 13, Perukangas Marco, 5
542, 13, Rantala Kati, 8
543, 13, Rantanen Anna, 12
544, 13, Roos Sari, 53
545, 13, Ruoppila Sampo, 9
546, 13, Ruuskanen Timo, 21
547, 13, Saalismaa Nina, 10
548, 13, Selin Tove, 20
549, 13, Siirtomaa Riitta, 8
550, 13, Sivunen Johanna, 9
551, 13, Sjöblom Leena, 30
552, 13, Stambej Ville, 27
553, 13, Streng Joonia, 16
554, 13, Tolvanen Mila, 23
555, 13, Vesikansa Sanna, 33
556, 13, Viinikainen Tytti, 62
557, 13, Virrankoski Lauri, 11
558, 13, Vogt Ellen, 11
559, 13, Vogt Henri, 32
560, 13, Woitsch Erwin, 7
561, 13, Ylä-Kotola Mauri, 14
562, 14, Hyvätti Jaakko, 22
563, 14, Hämäläinen TJ, 39
564, 14, Kaakinen Marko, 5
565, 14, Kangasperko Ilkka, 5
566, 14, Kohonen Jukka, 3
567, 14, Koponen Olli "OKA", 1
568, 14, Koskinen Taru, 22
569, 14, Kuoppa-aho Mika "Kuoppa", 16
570, 14, Laakko Juhani, 9
571, 14, Lahtinen Merja, 31
572, 14, Mikkelä Otto-Ville, 6
573, 14, Mustonen Pilvi, 10
574, 14, Mäkelä Ari, 4
575, 14, Nikander Sami "Niksu", 8
576, 14, Pennanen Petrus, 10
577, 14, Rajamäki Mika, 5
578, 14, Ruonala Mika "Nappula", 16
579, 14, Saarelainen Jari "Jakke", 15
580, 14, Saarinen Vesa, 15
581, 14, Salonaho Oscar, 18
582, 14, Sorsa Mika "Pingviini", 11
583, 14, Tapanainen Sari, 23
584, 14, Thölix Laura, 17
585, 14, Törmälehto Heidi, 4
586, 14, Virtanen Markku "Polle", 2
587, 15, Almqvist Casper, 2
588, 15, Eskuri Mia, 3
589, 15, Gylling Sebastian, 5
590, 15, Haaksiluoto Sinikka, 1
591, 15, Haltia Johanna, 9
592, 15, Hansson Jonas, 4
593, 15, Ilva Jyrki, 12
594, 15, Jansson Monica, 8
595, 15, Kruut Marja, 13
596, 15, Levä Ilkka, 4
597, 15, Myller Mikko, 24
598, 15, Parland-von Essen Jessica, 3
599, 15, Pirhonen Taija, 18
600, 15, Remes Pauliina, 13
601, 15, Ruohonen Susanna, 6
602, 15, Saarniaho Ram, 9
603, 15, Savonen Tuomas, 18
604, 15, Suvensaari Tommi, 7
605, 15, Svenfelt Anders, 6
606, 15, Vuolanto Ville, 10
607, 16, Aspinen Mika, 9
608, 16, Aukee Mirja Maija, 13
609, 16, Hakala Jyri, 4
610, 16, Hautala Jukka, 9
611, 16, Heikkilä Marianne, 13
612, 16, Heikkinen Kanerva, 9
613, 16, Huotari Anna, 9
614, 16, Huotari Mikko, 35
615, 16, Hytönen Pirre, 3
616, 16, Hämäläinen Miika, 6
617, 16, Ilppola Minna, 16
618, 16, Kalliokoski Lauri, 22
619, 16, Kanala Kari, 16
620, 16, Kanala Katri, 10
621, 16, Kara-Jussila Pia, 20
622, 16, Kuittinen Arhi, 2
623, 16, Litendahl Topi "Toivo", 7
624, 16, Matikainen Iina, 8
625, 16, Myyryläinen Seppo, 7
626, 16, Mäkelä Liisa, 11
627, 16, Nyholm "Kitu", 1
628, 16, Pihlainen Hanne, 5
629, 16, Rautio Hanna, 15
630, 16, Ropponen Juha, 32
631, 16, Silfverhuth "Olsa", 26
632, 16, Silvennoinen Tommi, 1
633, 16, Turakka Pauliina, 5
634, 16, Turman Heli, 10
635, 16, Varkemaa Elisa, 8
636, 16, Väyrynen Leena, 6
637, 16, Åberg Anu, 0
638, 17, Fields Marion, 91
639, 17, Hellberg Pirita, 27
640, 17, Henriksson Juha, 8
641, 17, Huhta Susanna, 17
642, 17, Karikoski "Rik", 9
643, 17, Keskitalo Esa-Pekka, 57
644, 17, Kouki Paula, 10
645, 17, Lindh Kirsi, 5
646, 17, Toijonen Ale, 15
647, 17, Vallasvuo Virpi, 12
648, 17, Kemppainen Marjo, 44
649, 17, Laukkanen Johanna "Peppi", 6
650, 17, Nylander Laura, 29
651, 17, Anttolainen Mari, 85
652, 18, Forsström Petra, 19
653, 18, Haaramo Peija, 8
654, 18, Huttunen Teemu, 5
655, 18, Kajas Jari, 40
656, 18, Lindegren Lotta, 7
657, 18, Mielck Lotte, 11
658, 18, Pallin Joachim, 19
659, 18, Pasanen Ulla-Kristina, 14
660, 18, Randén Pasi, 12
661, 19, Erkkilä Mattias, 29
662, 19, Jauho Mikko, 7
663, 19, Kangasharju Sanna, 22
